date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-06;amc;-0.62;0.97;-164.2
2020-05-06;amc;-3.54;-1.86;-90.18
2020-08-04;amc;-6.14;-4.91;-25.01
2020-11-05;amc;-7.04;-3.89;-81.12
2021-02-04;amc;-2.45;-2.4;-2.0
2021-05-10;amc;-2.41;-2.03;-18.93
2021-08-04;amc;-1.12;-1.58;28.98
2021-11-09;amc;-1.24;-1.29;4.15
2022-02-15;amc;-1.37;-1.18;-16.01
2022-05-10;amc;-1.21;-1.15;-5.21
2022-08-09;amc;-0.82;-1.02;19.69
2022-11-09;amc;-1.2;-1.01;-18.5
2023-02-08;amc;-1.23;-1.16;-5.67
2023-05-09;amc;0.29;-0.03;970.35
2023-08-09;amc;0.91;0.72;26.17
2023-11-09;amc;0.99;0.8;23.9
2024-02-07;amc;1.91;1.16;64.9
2024-05-07;amc;1.59;1.39;14.56
2024-08-06;amc;1.12;1.19;-6.1
2024-11-04;amc;0.9;1.1;-17.88
2025-02-13;amc;2.42;1.27;91.11
2025-05-06;amc;1.07;1.24;-13.98
2025-08-07;amc;1.09;1.2;-8.79
2025-11-06;amc;0.85;1.04;-18.08
2026-02-12;amc;1.17;1.48;-20.7
